  №                     Имя   Энергия    Убийства    Шаги    Очки   Баллы

  1               robot2(1)       994           1     100    1094       5
  2                  robot2       978           1     100    1078       4
  3               robot1(1)       818           2     100    1018       4
  4            BaseRobot(2)       699           1     100     799       3
  5            BaseRobot(5)         0           2     100     200       3
  6            BaseRobot(6)         0           0      59       0       3
  7            BaseRobot(7)         0           0      55       0       3
  8            BaseRobot(3)         0           0      49       0       3
  9                  robot1         0           0      38       0       3
 10            BaseRobot(4)         0           0      29       0       3
 11            BaseRobot(1)         0           0      25       0       2
